result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
181,DNF,0.0,19,L. Dalla Porta,Italtrans Racing Team,20 laps,Race,Moto2,ARG,2022,2
182,DNF,0.0,9,J. Navarro,Flexbox HP40,20 laps,Race,Moto2,ARG,2022,2
183,DNF,0.0,2,G. Rodrigo,Pertamina Mandalika SAG Team,19 laps,Race,Moto2,ARG,2022,2
184,DNF,0.0,12,F. Salac,Gresini Racing Moto2,11 laps,Race,Moto2,ARG,2022,2
185,DNF,0.0,61,A. Zaccone,Gresini Racing Moto2,7 laps,Race,Moto2,ARG,2022,2
186,DNF,0.0,54,F. Aldeguer ,MB Conveyors Speed Up,6 laps,Race,Moto2,ARG,2022,2
187,DNF,0.0,84,Z. Van Den Goorbergh,RW Racing GP,1 laps,Race,Moto2,ARG,2022,2
188,DNF,0.0,28,N. Antonelli,Mooney VR46 Racing Team,,Race,Moto2,ARG,2022,2
189,DNF,0.0,4,S. Kelly,American Racing,,Race,Moto2,ARG,2022,2
190,DNF,0.0,37,A. Fernandez,Red Bull KTM Ajo,,Race,Moto2,ARG,2022,2
191,1,25.0,11,S. Garcia,GASGAS Aspar Team,38:23.433,Race,Moto3,ARG,2022,2
192,2,20.0,7,D. Foggia,Leopard Racing,+0.146,Race,Moto3,ARG,2022,2
193,3,16.0,71,A. Sasaki,Sterilgarda Husqvarna Max,+0.375,Race,Moto3,ARG,2022,2
194,4,13.0,54,R. Rossi,SIC58 Squadra Corse,+0.507,Race,Moto3,ARG,2022,2
195,5,11.0,24,T. Suzuki,Leopard Racing,+0.484,Race,Moto3,ARG,2022,2
196,6,10.0,10,D. Moreira,MT Helmets - MSI,+0.587,Race,Moto3,ARG,2022,2
197,7,9.0,96,D. Holgado,Red Bull KTM Ajo,+0.715,Race,Moto3,ARG,2022,2
198,8,8.0,99,C. Tatay,CFMOTO Racing PruestelGP,+2.032,Race,Moto3,ARG,2022,2
199,9,7.0,27,K. Toba,CIP Green Power,+3.098,Race,Moto3,ARG,2022,2
200,10,6.0,66,J. Kelso,CIP Green Power,+3.397,Race,Moto3,ARG,2022,2
201,11,5.0,23,E. Bartolini,QJMotor Avintia Racing Team,+7.649,Race,Moto3,ARG,2022,2
202,12,4.0,6,R. Yamanaka,MT Helmets - MSI,+8.893,Race,Moto3,ARG,2022,2
203,13,3.0,31,A. Fernandez,Red Bull KTM Tech3,+9.032,Race,Moto3,ARG,2022,2
204,14,2.0,53,D. Öncü,Red Bull KTM Tech3,+9.202,Race,Moto3,ARG,2022,2
205,15,1.0,48,I. Ortola,Angeluss MTA Team,+9.449,Race,Moto3,ARG,2022,2
206,16,0.0,82,S. Nepa,Angeluss MTA Team,+22.745,Race,Moto3,ARG,2022,2
207,17,0.0,72,T. Furusato,Honda Team Asia,+23.423,Race,Moto3,ARG,2022,2
208,18,0.0,18,M. Bertelle,QJMotor Avintia Racing Team,+23.667,Race,Moto3,ARG,2022,2
209,19,0.0,20,L. Fellon,SIC58 Squadra Corse,+23.810,Race,Moto3,ARG,2022,2
210,20,0.0,67,A. Surra,Rivacold Snipers Team,+24.041,Race,Moto3,ARG,2022,2
211,21,0.0,64,M. Suryo Aji,Honda Team Asia,+24.880,Race,Moto3,ARG,2022,2
212,22,0.0,87,G. Riu Male,BOE Motorsports,+37.416,Race,Moto3,ARG,2022,2
213,23,0.0,70,J. Whatley,VisionTrack Racing Team,+62.131,Race,Moto3,ARG,2022,2
214,DNF,0.0,5,J. Masia,Red Bull KTM Ajo,16 laps,Race,Moto3,ARG,2022,2
215,DNF,0.0,16,A. Migno,Rivacold Snipers Team,14 laps,Race,Moto3,ARG,2022,2
216,DNF,0.0,19,S. Ogden,VisionTrack Racing Team,13 laps,Race,Moto3,ARG,2022,2
217,DNF,0.0,28,I. Guevara,GASGAS Aspar Team,9 laps,Race,Moto3,ARG,2022,2
218,DNF,0.0,22,A. Carrasco,BOE Motorsports,4 laps,Race,Moto3,ARG,2022,2
219,DNF,0.0,43,X. Artigas,CFMOTO Racing PruestelGP,5 laps,Race,Moto3,ARG,2022,2
220,1,25.0,41,A. Espargaro,Aprilia Racing,41:36.198,Race,MotoGP,ARG,2022,2
221,2,20.0,89,J. Martin,Prima Pramac Racing,+0.807,Race,MotoGP,ARG,2022,2
222,3,16.0,42,A. Rins,Team SUZUKI ECSTAR,+1.330,Race,MotoGP,ARG,2022,2
223,4,13.0,36,J. Mir,Team SUZUKI ECSTAR,+1.831,Race,MotoGP,ARG,2022,2
224,5,11.0,63,F. Bagnaia,Ducati Lenovo Team,+5.840,Race,MotoGP,ARG,2022,2
225,6,10.0,33,B. Binder,Red Bull KTM Factory Racing,+6.192,Race,MotoGP,ARG,2022,2
226,7,9.0,12,M. Viñales,Aprilia Racing,+6.540,Race,MotoGP,ARG,2022,2
227,8,8.0,20,F. Quartararo,Monster Energy Yamaha MotoGP,+10.215,Race,MotoGP,ARG,2022,2
228,9,7.0,72,M. Bezzecchi,Mooney VR46 Racing Team,+12.622,Race,MotoGP,ARG,2022,2
229,10,6.0,23,E. Bastianini,Gresini Racing MotoGP,+12.987,Race,MotoGP,ARG,2022,2
230,11,5.0,10,L. Marini,Mooney VR46 Racing Team,+13.962,Race,MotoGP,ARG,2022,2
231,12,4.0,30,T. Nakagami,LCR Honda IDEMITSU,+14.002,Race,MotoGP,ARG,2022,2
232,13,3.0,88,M. Oliveira,Red Bull KTM Factory Racing,+14.456,Race,MotoGP,ARG,2022,2
233,14,2.0,43,J. Miller,Ducati Lenovo Team,+14.898,Race,MotoGP,ARG,2022,2
234,15,1.0,73,A. Marquez,LCR Honda CASTROL,+23.472,Race,MotoGP,ARG,2022,2
235,16,0.0,25,R. Fernandez,Tech3 KTM Factory Racing,+25.862,Race,MotoGP,ARG,2022,2
236,17,0.0,87,R. Gardner,Tech3 KTM Factory Racing,+28.711,Race,MotoGP,ARG,2022,2
237,18,0.0,40,D. Binder,WithU Yamaha RNF MotoGP Team,+28.784,Race,MotoGP,ARG,2022,2
